iteration,cluster_id,frequent_termset,support,entropy_overlap,n_remaining_docs_after
1,0,"hukum, jadi",8,1.590554,492
2,1,lalu,8,1.548112,484
3,2,"orang, pak",8,1.572495,476
4,3,didik,8,1.859656,468
5,4,"jadi, nadiem",8,1.927286,460
6,5,ngeri,8,2.030486,452
7,6,jujur,8,2.125935,444
8,7,"jabat, jadi",8,1.992404,436
9,8,konoha,8,2.010855,428
10,9,lah,9,2.106305,419
11,10,masuk,8,2.135186,411
12,11,gila,8,2.118703,403
13,12,jahat,12,2.003077,391
14,13,klo,8,2.221829,383
15,14,vonis,9,1.937213,374
16,15,zolim,8,2.279959,366
17,16,bukti,9,2.311055,357
18,17,penjara,8,2.012429,349
19,18,mana,9,2.281165,340
20,19,sendiri,8,2.240628,332
21,20,jangan,11,2.306,321
22,21,dunia,8,2.344696,313
23,22,banyak,8,2.330686,305
24,23,korban,10,2.079442,295
25,24,mulyono,10,2.099072,285
26,25,salah,9,2.06207,276
27,26,koruptor,12,2.074386,264
28,27,rakyat,10,2.42096,254
29,28,siapa,10,2.43696,244
30,29,uang,11,2.348743,233
31,30,hakim,10,2.44059,223
32,31,korupsi,10,2.445646,213
33,32,benar,10,2.7109,203
34,33,moga,8,1.704551,195
35,34,semua,8,2.099072,187
36,35,allah,9,2.157964,178
37,36,sama,8,2.445646,170
38,37,orang,8,1.752498,162
39,38,hukum,16,2.465276,146
40,39,adil,9,1.752498,137
41,40,nadiem,14,1.752498,123
42,41,jokowi,27,1.732868,96
43,42,negara,9,0.693147,87
44,43,jadi,17,1.039721,70
45,44,pak,8,0.0,62
46,45,RESIDUAL_UNASSIGNED,62,0.0,0
